# Warmup Iteration  16: 13,084 ops/s
# Warmup Iteration  17: 13,205 ops/s
# Warmup Iteration  18: 13,474 ops/s
# Warmup Iteration  19: 13,455 ops/s
# Warmup Iteration  20: 13,384 ops/s
Iteration   1: 13,433 ops/s
Iteration   2: 13,221 ops/s
Iteration   3: 13,449 ops/s
Iteration   4: 12,942 ops/s
Iteration   5: 13,490 ops/s
Iteration   6: 12,789 ops/s
Iteration   7: 13,034 ops/s
Iteration   8: 13,318 ops/s
Iteration   9: 13,477 ops/s
Iteration  10: 13,230 ops/s
Iteration  11: 13,259 ops/s
Iteration  12: 13,264 ops/s
Iteration  13: 13,210 ops/s
Iteration  14: 13,469 ops/s
Iteration  15: 13,382 ops/s
